"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Offshore circalittoral mud",31.94,"<0.1","   0.1","   1.7","   4.4"," 7.8"," 12.5","  18.7"," 26.7"," 39.6"," 55.8"
"Offshore circalittoral sand",34.91,"<0.1","   0.7","   3.3","   7.5","13.0"," 20.8","  30.3"," 39.8"," 53.0"," 71.1"
"Upper bathyal sediment",36.76,"   0.0","   0.0","   0.0","   0.1"," 0.7","  2.9","   9.7"," 28.1"," 57.1"," 86.0"
"Circalittoral coarse sediment",8.77,"<0.1","   0.1","   1.0","   4.8","11.0"," 19.7","  28.4"," 37.8"," 50.8"," 69.9"
"Circalittoral sand",16.56,"   0.0","   0.0","<0.1","   0.1"," 0.8","  3.9","  13.2"," 26.8"," 43.0"," 66.3"
"Offshore circalittoral coarse sediment",12.53,"   0.4","   2.0","   6.3","  11.1","16.6"," 25.4","  33.4"," 44.1"," 56.9"," 71.4"
"Offshore circalittoral mixed sediment",3.47,"<0.1","   0.2","   1.6","   4.7"," 7.5"," 12.9","  22.8"," 34.8"," 52.1"," 70.6"
"Circalittoral mixed sediment",2.99,"   0.0","   0.0","<0.1","   0.2"," 0.6","  3.8","  24.7"," 70.7","100.0","100.0"
"Offshore circalittoral rock and biogenic reef",7.26,"   0.0","<0.1","   0.6","   3.5"," 7.0"," 14.5","  24.1"," 34.7"," 51.5"," 73.6"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",21.7,"   0.0","   0.0","   0.0","   0.0"," 0.0","  0.0","  45.2"," 45.7"," 60.6"," 84.5"
"Circalittoral mud",6.41,"   0.0","   0.0","   0.0","<0.1"," 0.1","  0.4","   1.3","  6.0"," 21.2"," 55.3"
"Circalittoral rock and biogenic reef",7.05,"   0.0","   0.0","   0.0","   0.1"," 0.6","  1.5","   3.6","  8.1"," 17.6"," 42.0"
"Upper bathyal rock and biogenic reef",1.74,"   0.0","   0.0","   0.0","   0.0"," 0.0","100.0"," 100.0","100.0","100.0","100.0"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",36.17,"   0.0","   0.0","   0.0","   0.0"," 0.0","  0.0","   0.0","  0.0","  0.0","  0.0"
"Infralittoral sand",2.58,"   0.0","   0.0","   0.0","   0.0"," 0.0","  0.0","   0.0","  0.5","  2.5"," 10.2"
"Unknown",0.56,"   0.0","   0.0","   0.0","   0.0"," 0.0","  0.0","   0.2","  2.8"," 33.7"," 92.7"
"Infralittoral rock and biogenic reef",2.08,"   0.0","   0.0","   0.0","   0.0"," 0.0","  0.0","<0.1","  2.3"," 12.1"," 32.8"
"Lower bathyal sediment",12.1,"   0.0","   0.0","   0.0","   0.0"," 0.0","  0.0","   0.0","  0.0","  1.0","  6.2"
"Infralittoral mud",0.73,"   0.0","   0.0","   0.0","   0.0"," 0.0","  0.0","   0.0","  0.3","  2.9"," 18.9"
"Abyssal",513.94,"   0.0","   0.0","   0.0","   0.0"," 0.0","  0.0","   0.0","  0.0","  0.0","  0.0"
"Infralittoral coarse sediment",0.51,"   0.0","   0.0","   0.0","   0.0"," 0.0","  0.0","   1.8"," 14.0"," 21.6"," 73.6"
"Infralittoral mixed sediment",0.37,"   0.0","   0.0","   0.0","   0.0"," 0.0","  0.0","   0.0","  0.0","  1.0"," 31.3"
"Lower bathyal rock and biogenic reef",0.5,"   0.0","   0.0","   0.0","   0.0"," 0.0","  0.0","   0.0","  0.0","  0.0","  0.0"
