"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Offshore circalittoral coarse sediment",142.4,"   0.0","   0.0","<0.1","   0.3","   1.2","   3.8"," 9.1","18.9","34.1","57.0"
"Offshore circalittoral sand",127.07,"   0.0","<0.1","   0.9","   3.7","   8.4","  14.7","23.0","33.3","46.5","64.7"
"Offshore circalittoral mud",64.6,"<0.1","   0.5","   2.6","   5.8","  10.1","  15.5","22.9","32.8","46.2","65.1"
"Upper bathyal sediment",156.59,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.1"," 1.4"," 6.7","18.6","43.0"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",43.13,"   0.0","   0.0","   0.0","   0.0","<0.1","   0.1"," 0.4"," 1.0"," 5.7","29.2"
"Unknown",42.64,"   0.0","   0.0","   0.0","   0.0","   0.2","   0.8"," 2.0"," 4.4","13.8","42.3"
"Offshore circalittoral mixed sediment",9.41,"   0.0","   0.0","   0.0","<0.1","   0.4","   0.9"," 2.2"," 6.1","15.7","36.4"
"Offshore circalittoral rock and biogenic reef",6.82,"   0.0","   0.0","   0.0","   0.3","   1.3","   2.9"," 6.2","11.1","20.0","35.4"
"Circalittoral coarse sediment",20.6,"   0.0","   0.0","   0.0","<0.1","   0.7","   2.2"," 5.0","10.0","19.0","34.9"
"Circalittoral sand",11.16,"   0.0","   0.0","   0.0","   0.0","<0.1","   0.8"," 2.5"," 6.6","15.9","36.4"
"Circalittoral mud",4.82,"   0.0","   0.0","   0.0","   0.2","   0.7","   2.7"," 5.7","12.1","26.5","55.2"
"Circalittoral rock and biogenic reef",9.27,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.4"," 2.6"," 7.3","18.3","42.4"
"Infralittoral sand",1.96,"   0.0","   0.0","   0.0","   0.0","   0.0","<0.1"," 0.3"," 1.4"," 4.9","27.7"
"Infralittoral coarse sediment",1.27,"   0.0","   0.0","   0.0","   0.0","<0.1","   0.3"," 1.2"," 4.2"," 9.4","22.3"
"Circalittoral mixed sediment",0.96,"   0.0","   0.0","   0.0","<0.1","   0.5","   2.4"," 9.2","19.6","32.4","69.6"
"Infralittoral rock and biogenic reef",1.96,"   0.0","   0.0","   0.0","   0.0","   0.0","<0.1"," 0.5"," 2.2"," 7.0","23.1"
"Lower bathyal sediment",117.09,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"Upper bathyal rock and biogenic reef",0.82,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.3"," 5.3"
"Abyssal",139.78,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.0"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",33.97,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 2.9"
"Infralittoral mud",0.4,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 0.6"," 8.1","27.2"
"Infralittoral mixed sediment",0.19,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 0.5"," 2.2"," 7.2"
"Lower bathyal rock and biogenic reef",0.48,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.0"
