"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Offshore circalittoral sand",239.33,"   0.0","<0.1","   0.3","   1.5"," 4.1","   8.0","13.7","22.2","  34.1","52.6"
"Offshore circalittoral mud",105.81,"   0.2","   1.0","   3.5","   7.0","12.0","  18.8","27.6","38.8","  52.5","70.4"
"Offshore circalittoral coarse sediment",66.45,"<0.1","<0.1","   0.3","   1.1"," 2.4","   4.6"," 8.9","16.1","  27.6","47.6"
"Circalittoral sand",71.3,"<0.1","<0.1","   0.7","   2.7"," 6.2","  11.2","18.0","26.4","  37.5","55.1"
"Upper bathyal sediment",61.87,"   0.0","   0.0","   0.2","   4.0","11.3","  21.8","34.1","46.5","  60.0","77.6"
"Circalittoral coarse sediment",27.05,"   0.0","   0.0","   0.0","<0.1"," 0.4","   1.6"," 4.2"," 9.1","  17.1","29.2"
"Infralittoral sand",12.87,"   0.0","   0.0","   0.0","   0.0"," 0.2","   2.2"," 9.8","21.6","  38.2","58.5"
"Offshore circalittoral mixed sediment",6.56,"<0.1","   0.3","   1.4","   3.5"," 7.1","  12.1","18.9","29.1","  43.1","65.0"
"Circalittoral mud",7.69,"   0.0","   0.0","   0.1","   1.4"," 5.0","  10.5","17.7","27.2","  40.9","60.4"
"Unknown",7.66,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.0"," 0.4"," 2.3","   9.3","30.4"
"Circalittoral mixed sediment",5.92,"   0.0","   0.0","   0.0","   0.1"," 0.8","   3.2"," 8.4","15.8","  27.7","50.2"
"Infralittoral coarse sediment",2.94,"   0.0","   0.0","<0.1","   0.3"," 2.1","  10.2","20.7","33.6","  44.9","61.0"
"Offshore circalittoral rock and biogenic reef",4.63,"   0.0","   0.0","   0.0","   0.0"," 0.0","<0.1"," 1.1"," 4.4","  13.8","39.9"
"Infralittoral mud",1.07,"   0.0","   0.0","   0.0","   0.0"," 0.0","<0.1"," 1.3"," 5.6","  16.9","35.9"
"Upper bathyal rock and biogenic reef",1.63,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.0"," 0.0"," 0.0","<0.1","19.3"
"Circalittoral rock and biogenic reef",3.07,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.2"," 1.8"," 6.4","  17.2","40.5"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",1.28,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.0"," 0.0"," 0.0","   0.1"," 7.4"
"Infralittoral rock and biogenic reef",1.34,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.0"," 0.2"," 1.3","   4.2","16.6"
"Infralittoral mixed sediment",1.17,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.0"," 0.0"," 0.9","   3.9","16.5"
