"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6 euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Circalittoral mixed sediment",5.92,927,0.02,0.01,0,0,0.01,0,0.01
"Circalittoral mud or Circalittoral sand",2.75,455,0.02,0.01,0,0,0.03,0,0.02
"Infralittoral mixed sediment",1.59,772,0,0,0,0,0,0,NA
"Circalittoral rock and biogenic reef",1.01,648,0,0,0,0,0,0,0
"Infralittoral rock and biogenic reef",0.99,602,0,0,0,0,0,0,NA
"Circalittoral mud",0.53,225,0,0,0,0,0.01,0,0.02
"Circalittoral coarse sediment",0.17,144,0,0,0,0,0,0,0.01
"Infralittoral mud or Infralittoral sand",0.17,268,0,0,0,0,0,0,NA
"Infralittoral coarse sediment",0.07,93,0,0,0,0,0,0,NA
"Infralittoral mud",0.07,151,0,0,0,0,0,0,NA
"Offshore circalittoral mixed sediment",0.02,9,0,0,0,0,0,0,NA
"Infralittoral sand",0.02,66,0,0,0,0,0,0,NA
"Circalittoral sand",0.02,80,0,0,0,0,0,0,NA
"Offshore circalittoral mud or Offshore circalittoral sand",0,4,0,0,0,0,0,0,NA
"Offshore circalittoral rock and biogenic reef",0,4,0,0,0,0,0,0,NA
