"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Offshore circalittoral mud",9.44,"   0.4","   1.1","   3.8","8.5","13.4","19.9","28.9"," 39.1"," 53.3"," 74.2"
"Circalittoral sand",8.57,"   0.0","   0.0","   0.4","1.6"," 3.8"," 7.0","12.4"," 22.1"," 35.6"," 61.9"
"Offshore circalittoral mixed sediment",3.2,"   0.3","   0.6","   2.1","3.3"," 4.9"," 7.5","10.9"," 19.0"," 28.9"," 47.9"
"Infralittoral sand",11.86,"   0.0","   0.0","   0.0","0.2"," 1.0"," 5.9","12.8"," 19.7"," 30.1"," 58.3"
"Circalittoral mixed sediment",10.03,"   0.0","   0.0","   0.0","0.0"," 0.0"," 0.2"," 0.8","  5.1"," 17.1"," 40.3"
"Circalittoral mud",1.99,"   0.2","   1.2","   4.6","8.7","15.4","21.1","28.5"," 37.5"," 53.0"," 70.2"
"Offshore circalittoral sand",1.47,"   0.1","   0.8","   1.8","3.9"," 8.4","17.9","26.1"," 38.4"," 54.3"," 75.2"
"Circalittoral mud or Circalittoral sand",1.23,"   0.0","<0.1","   0.9","2.7"," 9.0","16.4","19.8"," 34.0"," 54.2"," 73.0"
"Offshore circalittoral mud or Offshore circalittoral sand",1.38,"   0.4","   0.9","   2.9","4.2"," 6.2","10.1","14.3"," 19.6"," 25.8"," 35.1"
"Infralittoral coarse sediment",2.69,"   0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.7","  2.4","  6.0"," 18.0"
"Circalittoral coarse sediment",1.3,"   0.0","   0.0","   0.0","0.0"," 0.0"," 1.5"," 3.2","  5.8"," 12.3"," 26.2"
"Infralittoral mixed sediment",2.95,"   0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.1","  0.9","  3.6"," 15.5"
"Infralittoral mud",0.24,"   0.0","   0.0","   0.0","0.2"," 7.5","20.6","34.7"," 45.4"," 76.3"," 90.8"
"Infralittoral rock and biogenic reef",0.49,"   0.0","   0.0","   0.0","0.0"," 0.0"," 2.0"," 2.7","  3.9","  8.5"," 19.3"
"Circalittoral rock and biogenic reef",0.05,"   0.0","   0.0","<0.1","1.0"," 1.9","17.6","32.3"," 66.8"," 66.8","100.0"
"Offshore circalittoral coarse sediment",0.02,"<0.1","   0.4","   0.6","1.6"," 4.6","12.9","24.0"," 31.4"," 74.5","100.0"
"Offshore circalittoral rock and biogenic reef",0,"<0.1","   8.4","   8.4","8.4"," 8.4"," 8.4"," 8.4","100.0","100.0","100.0"
"Infralittoral mud or Infralittoral sand",0,"   NaN","   NaN","   NaN","NaN"," NaN"," NaN"," NaN","  NaN","  NaN","  NaN"
