"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6 euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of grid cells fished (I-2)","Prop. of area fished (I-3)","Prop of habitat fished with 90% of effort (I-4)"
"Abyssal",330.86,15015,8.5,0.01,0.08,0,0.02,0,0.01
"Upper bathyal sediment",23.6,1078,9667.88,2.38,31.58,1.32,0.75,0.43,0.3
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",21.11,933,2.12,0,0.02,0,0.04,0,0.03
"Lower bathyal sediment",12.03,558,5.21,0.01,0.04,0,0.19,0,0.09
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",5.66,251,186.37,0,0.91,0.16,0.22,0.08,0.08
"Offshore circalittoral sand",2.43,113,809.3,1.3,7.07,2.9,0.96,0.88,0.62
"Offshore circalittoral mud",2.15,100,773.41,0.6,4.74,2.19,0.98,0.91,0.7
"Offshore circalittoral coarse sediment",1.98,93,362.2,0.93,4.51,2.28,1,0.94,0.73
"Upper bathyal rock and biogenic reef",1.28,57,421.39,0,0.98,0.77,0.51,0.31,0.25
"Lower bathyal rock and biogenic reef",0.58,26,0.38,0,0,0,0.12,0,0.12
"Offshore circalittoral rock and biogenic reef",0.28,13,96.39,0.09,0.53,1.9,0.85,0.81,NA
"Unknown",0.07,3,48.46,0.01,0.31,4.68,1,1,NA
"Offshore circalittoral mixed sediment",0.02,1,0.04,0.02,0.07,3.44,1,1,NA
