"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Upper bathyal sediment",22.96,"0.0"," 0.0"," 0.0","<0.1"," 0.2"," 0.9"," 3.7"," 10.9","  26.8"," 54.8"
"Offshore circalittoral sand",2.73,"1.4"," 3.6"," 7.0","  11.3","17.7","25.1","34.9"," 46.7","  61.3"," 77.7"
"Offshore circalittoral mud",2.09,"2.0"," 5.1","11.1","  16.3","23.3","31.8","40.3"," 50.1","  62.5"," 80.6"
"Offshore circalittoral coarse sediment",1.99,"2.2"," 4.6"," 9.0","  15.0","22.5","31.0","40.4"," 50.7","  64.2"," 80.1"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",5.71,"0.0"," 0.0"," 0.0","   0.0"," 0.0"," 0.0"," 0.0","  0.0","   0.1","  3.8"
"Upper bathyal rock and biogenic reef",1.19,"0.0"," 0.0"," 0.0","   0.0"," 0.0"," 0.0"," 0.1","  2.3","  13.9"," 44.8"
"Offshore circalittoral rock and biogenic reef",0.29,"0.0"," 0.2"," 9.4","  17.8","24.1","33.2","48.8"," 62.7","  70.1"," 88.1"
"Offshore circalittoral mixed sediment",0.08,"0.9"," 5.2","15.8","  24.7","29.8","44.6","54.4"," 75.4","  86.0","100.0"
"Unknown",0.05,"3.1","19.3","19.3","  51.6","51.6","51.6","51.6","100.0"," 100.0","100.0"
"Lower bathyal sediment",12.05,"0.0"," 0.0"," 0.0","   0.0"," 0.0"," 0.0"," 0.0","  0.0","<0.1","  5.7"
"Abyssal",329.39,"0.0"," 0.0"," 0.0","   0.0"," 0.0"," 0.0"," 0.0","  0.0","   0.0","  0.0"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",21.19,"0.0"," 0.0"," 0.0","   0.0"," 0.0"," 0.0"," 0.0","  0.0","   0.0","  0.0"
"Circalittoral sand",0,"0.0"," 0.0"," 0.0","   0.0"," 0.0"," 0.0"," 0.0","  0.0","   0.0","100.0"
"Lower bathyal rock and biogenic reef",0.5,"0.0"," 0.0"," 0.0","   0.0"," 0.0"," 0.0"," 0.0","  0.0","   0.0","  0.0"
"Circalittoral rock and biogenic reef",0,"0.0"," 0.0"," 0.0","   0.0"," 0.0"," 0.0"," 0.0","  0.0","   0.0","  0.0"
