"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Offshore circalittoral mud",12.43,1405,NA,15.68,32.62,2.62,0.96,0.74,0.33
"Offshore circalittoral sand",24.31,2897,NA,9.03,16.96,0.7,0.72,0.33,0.18
"Upper bathyal sediment",3.39,336,NA,6.62,12.67,3.74,1,0.89,0.44
"Unknown",31.43,3335,NA,4.13,7.92,0.25,0.63,0.13,0.13
"Offshore circalittoral coarse sediment",34.97,3435,NA,6.7,7.07,0.2,0.65,0.13,0.19
"Offshore circalittoral mixed sediment",4.09,623,NA,0.98,1.77,0.43,0.62,0.18,0.17
"Circalittoral mud",1.26,484,NA,0.89,1.65,1.31,0.83,0.57,0.19
"Circalittoral sand",2.78,731,NA,0.56,0.95,0.34,0.58,0.19,0.13
"Circalittoral coarse sediment",6.6,1339,NA,1.12,0.8,0.12,0.6,0.1,0.18
"Offshore circalittoral rock and biogenic reef",2.93,1416,NA,0.37,0.54,0.18,0.57,0.11,0.15
"Circalittoral rock and biogenic reef",4.08,1591,NA,0.4,0.49,0.12,0.4,0.08,0.13
"Circalittoral mixed sediment",0.21,208,NA,0.14,0.14,0.67,0.7,0.37,0.22
"Infralittoral rock and biogenic reef",0.62,869,NA,0.14,0.14,0.22,0.51,0.13,0.09
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",0.03,37,NA,0.06,0.13,3.83,1,0.84,0.19
"Infralittoral coarse sediment",0.25,311,NA,0.03,0.02,0.09,0.43,0.07,0.16
"Infralittoral mud",0.08,165,NA,0.01,0.01,0.19,0.47,0.14,0.16
"Infralittoral sand",0.11,162,NA,0.01,0.01,0.1,0.5,0.08,0.1
"Infralittoral mixed sediment",0.07,90,NA,0.01,0.01,0.1,0.27,0.06,0.16
