"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Upper bathyal sediment",32.98,2415,NA,15,69.22,2.1,0.51,0.39,0.24
"Offshore circalittoral sand",21.06,2069,NA,20.05,48.76,2.32,0.95,0.76,0.42
"Offshore circalittoral coarse sediment",22.45,2170,NA,16.21,24.51,1.09,0.86,0.46,0.32
"Offshore circalittoral mud",0.81,128,NA,1.64,3.32,4.08,0.99,0.95,0.4
"Offshore circalittoral mixed sediment",0.27,97,NA,0.17,0.46,1.7,0.81,0.55,0.21
"Circalittoral rock and biogenic reef",1.29,444,NA,0.33,0.31,0.24,0.69,0.19,0.18
"Circalittoral coarse sediment",1.36,447,NA,0.27,0.25,0.18,0.83,0.14,0.23
"Unknown",1.02,426,NA,0.28,0.24,0.23,0.62,0.14,0.13
"Offshore circalittoral rock and biogenic reef",0.34,381,NA,0.22,0.2,0.58,0.85,0.35,0.22
"Infralittoral rock and biogenic reef",0.59,356,NA,0.04,0.04,0.07,0.34,0.05,0.15
"Circalittoral sand",0.15,122,NA,0.03,0.04,0.25,0.86,0.21,0.17
"Lower bathyal sediment",21.35,1596,NA,0,0.01,0,0,0,0
"Circalittoral mixed sediment",0.06,34,NA,0.01,0.01,0.12,0.39,0.09,0.15
"Infralittoral coarse sediment",0.08,92,NA,0,0.01,0.08,0.47,0.06,0.11
"Infralittoral mixed sediment",0.05,37,NA,0,0.01,0.11,0.4,0.1,0.05
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",0.17,27,NA,0,0,0.02,0,0,0.07
"Infralittoral sand",0.02,26,NA,0,0,0.08,0.54,0.08,0.15
"Circalittoral mud",0.04,18,NA,0,0,0,0.11,0,0.11
"Infralittoral mud",0.02,21,NA,0,0,0,0.13,0,0.14
"Abyssal",0.02,4,NA,0,0,0,0,0,NA
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.49,78,NA,0,0,0,0,0,NA
