"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Upper bathyal sediment",32.98,"   0.0","   0.0","<0.1","<0.1","<0.1","<0.1"," 1.1"," 6.1","16.0","  34.2"
"Offshore circalittoral sand",21.06,"<0.1","   0.4","   2.7","   8.0","  14.1","  20.1","28.2","37.0","47.1","  62.4"
"Offshore circalittoral coarse sediment",22.45,"   0.0","<0.1","   0.3","   2.1","   3.6","   7.2","13.9","22.5","35.5","  57.1"
"Offshore circalittoral mud",0.81,"   0.5","   2.0","   5.4","   8.4","  12.3","  15.3","20.2","30.4","41.8","  68.2"
"Offshore circalittoral mixed sediment",0.27,"   0.0","   0.0","   0.2","   3.0","   7.4","  11.0","28.6","45.4","59.6","  74.0"
"Circalittoral rock and biogenic reef",1.29,"   0.0","   0.0","   0.0","   0.0","   0.5","   8.5","11.4","20.5","31.9","  61.6"
"Circalittoral coarse sediment",1.36,"   0.0","   0.0","   0.4","   2.2","   5.9","  13.4","18.0","27.2","39.3","  61.8"
"Unknown",1.02,"   0.0","   0.0","   0.0","   0.0","   0.5","   1.6"," 3.8"," 7.4","11.3","  20.1"
"Offshore circalittoral rock and biogenic reef",0.34,"   0.0","   0.0","   0.4","   7.4","   9.4","  13.7","17.4","26.3","37.4","  46.7"
"Infralittoral rock and biogenic reef",0.59,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 0.6","12.0","  30.6"
"Circalittoral sand",0.15,"   0.0","   0.0","   1.2","   3.4","   9.7","  21.8","32.4","41.3","59.5","  67.7"
"Lower bathyal sediment",21.35,"   NaN","   NaN","   NaN","   NaN","   NaN","   NaN"," NaN"," NaN"," NaN","   NaN"
"Circalittoral mixed sediment",0.06,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 3.1","33.8","  35.3"
"Infralittoral coarse sediment",0.08,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 1.9"," 6.4","22.7","  58.5"
"Infralittoral mixed sediment",0.05,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 8.2","13.2","  33.3"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",0.17,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0","   0.0"
"Infralittoral sand",0.02,"   0.0","   0.0","   0.0","   0.0","   0.0","   2.0"," 2.0"," 6.0","24.1"," 100.0"
"Circalittoral mud",0.04,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0","<0.1"
"Infralittoral mud",0.02,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0","  21.2"
"Abyssal",0.02,"   NaN","   NaN","   NaN","   NaN","   NaN","   NaN"," NaN"," NaN"," NaN","   NaN"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.49,"   NaN","   NaN","   NaN","   NaN","   NaN","   NaN"," NaN"," NaN"," NaN","   NaN"
