"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Offshore circalittoral sand",165,12044,269.56,186.57,220.7,1.34,0.87,0.52,0.38
"Offshore circalittoral mud",62.21,5245,92.76,114.68,191.61,3.08,0.99,0.87,0.5
"Offshore circalittoral coarse sediment",25.27,2890,49.89,35.26,31.66,1.25,0.95,0.52,0.33
"Offshore circalittoral mixed sediment",1.44,346,1.21,2.48,4.46,3.1,0.98,0.62,0.21
"Upper bathyal sediment",0.32,100,2.53,2.04,2.98,9.42,1,1,0.61
"Circalittoral coarse sediment",0.72,280,0.25,1.02,1.03,1.44,0.91,0.49,0.16
"Circalittoral sand",1.33,291,0.21,0.59,0.75,0.56,0.75,0.29,0.19
"Circalittoral mud",0.74,157,0.12,0.38,0.53,0.71,0.86,0.4,0.2
"Offshore circalittoral rock and biogenic reef",0.31,399,0.12,0.26,0.27,0.86,0.98,0.37,0.23
"Circalittoral rock and biogenic reef",0.55,284,0.14,0.31,0.21,0.37,0.78,0.26,0.24
"Unknown",0.4,267,0.06,0.13,0.15,0.38,0.58,0.19,0.24
"Circalittoral mixed sediment",0.16,78,0.01,0.05,0.07,0.46,0.67,0.3,0.23
"Infralittoral rock and biogenic reef",0.18,194,0.04,0.09,0.06,0.34,0.62,0.19,0.21
"Infralittoral coarse sediment",0.05,82,0.01,0.03,0.03,0.71,0.74,0.34,0.17
"Infralittoral sand",0.24,101,0.01,0.02,0.03,0.12,0.38,0.12,0.15
"Infralittoral mud",0.06,32,0,0,0,0.04,0.21,0.04,0.19
"Infralittoral mixed sediment",0.02,16,0,0,0,0.03,0.26,0.03,NA
