"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Circalittoral mud",1.91,"0.0","<0.1","   0.7","   2.2"," 6.2","  12.4","  21.6","36.4","51.0","71.1"
"Circalittoral sand",2.16,"0.0","   0.0","<0.1","   0.5"," 2.0","   3.6","   9.6","18.5","32.9","54.9"
"Infralittoral sand",7.2,"0.0","   0.0","   0.0","   0.0"," 0.0","   0.3","   3.3","14.9","39.3","65.8"
"Infralittoral mixed sediment",2.81,"0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","   2.2"," 4.9","12.8","39.9"
"Offshore circalittoral mud",0.2,"0.8","   1.6","   3.5","  10.9","16.6","  28.2","  42.9","51.2","70.4","81.7"
"Circalittoral mixed sediment",0.44,"0.0","   0.0","   0.0","   0.4"," 2.5","   3.4","   4.9"," 9.2","23.3","45.6"
"Infralittoral coarse sediment",0.98,"0.0","   0.0","   0.0","   0.0"," 0.6","   4.1","   9.1","16.5","25.9","46.1"
"Infralittoral mud",0.91,"0.0","   0.0","   0.0","   0.0"," 0.0","<0.1","   0.7"," 2.1","21.8","67.3"
"Offshore circalittoral sand",0.18,"0.0","   0.0","   0.0","<0.1"," 1.2","   4.3","   5.9","13.2","26.7","47.2"
"Circalittoral coarse sediment",0.11,"0.0","   0.0","   0.1","   1.6"," 3.3","   5.4","  13.7","24.1","38.8","66.8"
"Offshore circalittoral mixed sediment",0.05,"0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","<0.1"," 2.1"," 6.6","25.9"
"Offshore circalittoral coarse sediment",0,"0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","   7.4","49.1","49.1","49.1"
"Infralittoral rock and biogenic reef",0.03,"0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"
"Circalittoral rock and biogenic reef",0,"NaN","   NaN","   NaN","   NaN"," NaN","   NaN","   NaN"," NaN"," NaN"," NaN"
